DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,1999-Q4,158800.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2000-Q1,153640.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2000-Q2,162868.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2000-Q3,158906.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2000-Q4,172155.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2001-Q1,166473.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2001-Q2,176507.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2001-Q3,171969.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2001-Q4,186009.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2002-Q1,177746.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2002-Q2,189869.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2002-Q3,183563.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2002-Q4,198566.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2003-Q1,190941.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2003-Q2,202900.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2003-Q3,196602.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2003-Q4,212240.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2004-Q1,203881.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2004-Q2,217312.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2004-Q3,210604.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2004-Q4,228262.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2005-Q1,219830.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2005-Q2,235268.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2005-Q3,226879.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2005-Q4,246145.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2006-Q1,238537.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2006-Q2,254453.0,,
ESTAT:NAMQ_10_GDP(1.0),14/11/25 23:00:00,Quarterly,"Current prices, million euro",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Spain,2006-Q3,245333.0,,
